datetime,streamflow (m3/s)
1980-01-01 00:00:00,2.4328191
1980-01-02 00:00:00,5.571361
1980-01-03 00:00:00,7.060855
1980-01-04 00:00:00,7.73242
1980-01-05 00:00:00,8.0002775
1980-01-06 00:00:00,8.069571
1980-01-07 00:00:00,8.041928
1980-01-08 00:00:00,7.967244
1980-01-09 00:00:00,7.8702445
1980-01-10 00:00:00,7.763435
1980-01-11 00:00:00,7.6528754
1980-01-12 00:00:00,7.54131
1980-01-13 00:00:00,7.429868
1980-01-14 00:00:00,7.31888
1980-01-15 00:00:00,7.2086606
1980-01-16 00:00:00,7.099547
1980-01-17 00:00:00,6.9916587
1980-01-18 00:00:00,6.8850455
1980-01-19 00:00:00,6.779796
1980-01-20 00:00:00,6.675926
1980-01-21 00:00:00,6.5736957
1980-01-22 00:00:00,6.4734445
1980-01-23 00:00:00,6.3748727
1980-01-24 00:00:00,6.277817
1980-01-25 00:00:00,6.1821785
1980-01-26 00:00:00,6.087915
1980-01-27 00:00:00,5.99494
1980-01-28 00:00:00,5.9042234
1980-01-29 00:00:00,5.8157597
1980-01-30 00:00:00,5.726529
1980-01-31 00:00:00,5.637165
1980-02-01 00:00:00,5.549759
1980-02-02 00:00:00,5.464003
1980-02-03 00:00:00,5.3794236
1980-02-04 00:00:00,5.3440228
1980-02-05 00:00:00,5.5178437
1980-02-06 00:00:00,5.5116596
1980-02-07 00:00:00,5.281651
1980-02-08 00:00:00,5.1137195
1980-02-09 00:00:00,4.9925923
1980-02-10 00:00:00,4.895211
1980-02-11 00:00:00,4.809694
1980-02-12 00:00:00,4.7300987
1980-02-13 00:00:00,4.6535163
1980-02-14 00:00:00,4.5787835
1980-02-15 00:00:00,4.5054207
1980-02-16 00:00:00,4.5074997
1980-02-17 00:00:00,5.370641
1980-02-18 00:00:00,5.745724
1980-02-19 00:00:00,5.139378
1980-02-20 00:00:00,4.6457214
1980-02-21 00:00:00,4.3685803
1980-02-22 00:00:00,4.201665
1980-02-23 00:00:00,4.0896435
1980-02-24 00:00:00,4.0099893
1980-02-25 00:00:00,4.1015973
1980-02-26 00:00:00,4.0881524
1980-02-27 00:00:00,3.9252026
1980-02-28 00:00:00,3.8145692
1980-02-29 00:00:00,3.870609
1980-03-01 00:00:00,46.061752
1980-03-02 00:00:00,115.529236
1980-03-03 00:00:00,104.95588
1980-03-04 00:00:00,54.519966
