Datetime,Ensemble0,Ensemble1,Ensemble2,Ensemble3,Ensemble4,Ensemble5,Ensemble6,Ensemble7,Ensemble8,Ensemble9,Ensemble10
1997-01-02,16.51992798,16.51930618,16.51776505,16.52004242,16.51057053,16.51650047,16.51776695,16.51896667,16.51469231,16.51459503,16.51443481
1997-01-05,16.14742661,16.14768791,16.15218163,16.14643288,16.14847183,16.15114594,16.15334892,16.14723587,16.14907837,16.15311623,16.1539669
1997-01-09,15.73679638,15.73457909,15.73984814,15.73635864,15.7378664,15.73201275,15.73859501,15.73718262,15.73522568,15.73945427,15.73690891
1997-01-12,15.48684597,15.48908234,15.48570347,15.48696327,15.48846149,15.49128628,15.48352051,15.4903698,15.48554611,15.48670673,15.4905529
1997-01-16,15.22231674,15.22266388,15.22248936,15.22221375,15.22260189,15.22411919,15.2224865,15.22186089,15.22260189,15.22354126,15.22261715
1997-01-19,15.04934025,15.05071354,15.05115032,15.07184124,15.04356003,15.06304455,15.05037117,15.05792236,15.0494318,15.05477524,15.04715157
1997-01-23,14.91590691,14.91263866,14.91743946,14.91958809,14.91032314,14.91073799,14.91809559,14.9053688,14.91622639,14.90319347,14.91727448
1997-01-26,14.87716293,14.87291813,14.87604618,14.87460423,14.87602139,14.87355995,14.87587833,14.87596035,14.87460136,14.87692165,14.87538338
1997-01-30,14.63010693,14.6288271,14.62870121,14.62721348,14.62228012,14.62929821,14.62593079,14.6278677,14.62683678,14.63189983,14.63147926
1997-02-02,14.39071655,14.39175797,14.39782524,14.39323044,14.3932085,14.39561844,14.3953371,14.39425087,14.39287663,14.39457798,14.39377403
1997-02-06,14.20212078,14.204422,14.20130253,14.19679356,14.20028591,14.19569683,14.20108318,14.20101547,14.20244312,14.19665718,14.19712925
1997-02-09,14.11948204,14.11397362,14.12383747,14.12119198,14.12499142,14.13172436,14.11410713,14.11853123,14.13002491,14.11736774,14.1250658
