Datetime,Discharge (m^3/s)
1980-01-01,0.0
1980-01-02,6874.12451171875
1980-01-03,6619.0400390625
1980-01-04,6375.13671875
1980-01-05,6145.8056640625
1980-01-06,5937.72607421875
1980-01-07,5758.13818359375
1980-01-08,5612.255859375
1980-01-09,5498.68359375
1980-01-10,5407.19287109375
1980-01-11,5323.501953125
1980-01-12,5235.27734375
1980-01-13,5134.72412109375
1980-01-14,5019.4013671875
1980-01-15,4891.66015625
1980-01-16,4758.8076171875
1980-01-17,4630.76318359375
1980-01-18,4513.5546875
1980-01-19,4404.53662109375
1980-01-20,4299.10791015625
1980-01-21,4196.41845703125
1980-01-22,4102.7744140625
1980-01-23,4030.916748046875
1980-01-24,3991.348388671875
1980-01-25,3985.1220703125
1980-01-26,3996.030029296875
1980-01-27,4000.41064453125
1980-01-28,3988.97265625
1980-01-29,3974.653564453125
1980-01-30,3981.93408203125
1980-01-31,4022.621337890625
1980-02-01,4080.3369140625
1980-02-02,4122.15625
1980-02-03,4123.55712890625
1980-02-04,4078.7490234375
1980-02-05,3992.11083984375
1980-02-06,3873.554443359375
1980-02-07,3740.7529296875
1980-02-08,3624.37939453125
1980-02-09,3570.113525390625
1980-02-10,3613.67578125
1980-02-11,3730.093017578125
1980-02-12,3852.447021484375
1980-02-13,3964.713134765625
1980-02-14,4111.1162109375
1980-02-15,4307.8310546875
1980-02-16,4492.83447265625
1980-02-17,4583.39599609375
1980-02-18,4553.10986328125
1980-02-19,4430.3994140625
1980-02-20,4260.10400390625
1980-02-21,4081.933837890625
1980-02-22,3918.64794921875
1980-02-23,3776.79052734375
1980-02-24,3654.587158203125
1980-02-25,3545.425537109375
1980-02-26,3444.811767578125
1980-02-27,3355.6025390625
1980-02-28,3285.228271484375
1980-02-29,3241.419677734375
1980-03-01,3229.99169921875
1980-03-02,3255.69775390625
1980-03-03,3325.50146484375
1980-03-04,3444.703125
1980-03-05,3602.7900390625
1980-03-06,3763.58642578125
1980-03-07,3877.77001953125
1980-03-08,3914.470947265625
1980-03-09,3886.3427734375
1980-03-10,3832.9892578125
1980-03-11,3780.165283203125
1980-03-12,3725.497802734375
1980-03-13,3657.951416015625
1980-03-14,3577.34033203125
1980-03-15,3495.784912109375
1980-03-16,3425.103271484375
1980-03-17,3368.51708984375
1980-03-18,3320.177001953125
1980-03-19,3269.116943359375
1980-03-20,3206.85498046875
1980-03-21,3132.223876953125
1980-03-22,3049.087158203125
1980-03-23,2962.6533203125
1980-03-24,2877.4482421875
1980-03-25,2798.44970703125
1980-03-26,2732.52197265625
1980-03-27,2685.46337890625
1980-03-28,2658.6689453125
1980-03-29,2651.57373046875
1980-03-30,2662.2275390625
1980-03-31,2686.278076171875
1980-04-01,2715.839111328125
1980-04-02,2741.899169921875
1980-04-03,2757.944091796875
1980-04-04,2759.658203125
1980-04-05,2745.572265625
1980-04-06,2717.150146484375
1980-04-07,2678.6806640625
1980-04-08,2636.982421875
1980-04-09,2597.7255859375
1980-04-10,2566.16845703125
1980-04-11,2546.177490234375
1980-04-12,2540.28369140625
1980-04-13,2546.954833984375
1980-04-14,2563.384765625
1980-04-15,2599.44921875
1980-04-16,2676.2861328125
1980-04-17,2813.6220703125
1980-04-18,3003.81201171875
1980-04-19,3202.634521484375
1980-04-20,3377.563720703125
1980-04-21,3543.72216796875
1980-04-22,3735.2451171875
1980-04-23,3950.507080078125
1980-04-24,4137.43212890625
1980-04-25,4242.63671875
1980-04-26,4259.07470703125
1980-04-27,4222.90673828125
1980-04-28,4180.12548828125
1980-04-29,4168.1025390625
1980-04-30,4217.7890625
1980-05-01,4363.83203125
1980-05-02,4639.96630859375
1980-05-03,5037.9248046875
1980-05-04,5461.67138671875
1980-05-05,5770.0185546875
1980-05-06,5886.39599609375
1980-05-07,5835.2998046875
1980-05-08,5689.10107421875
1980-05-09,5516.8916015625
1980-05-10,5359.794921875
1980-05-11,5236.8251953125
1980-05-12,5160.341796875
1980-05-13,5141.201171875
1980-05-14,5193.873046875
1980-05-15,5339.72314453125
1980-05-16,5576.60302734375
1980-05-17,5839.3994140625
1980-05-18,6040.10205078125
1980-05-19,6142.8544921875
1980-05-20,6162.7451171875
1980-05-21,6124.703125
1980-05-22,6047.5849609375
1980-05-23,5950.1943359375
1980-05-24,5863.734375
1980-05-25,5834.3623046875
1980-05-26,5910.89794921875
1980-05-27,6098.77099609375
1980-05-28,6311.6796875
1980-05-29,6426.66064453125
1980-05-30,6400.88134765625
1980-05-31,6281.029296875
1980-06-01,6130.78271484375
1980-06-02,5990.28564453125
1980-06-03,5857.36474609375
1980-06-04,5728.13525390625
1980-06-05,5633.892578125
1980-06-06,5634.18701171875
1980-06-07,5790.0185546875
1980-06-08,6127.64404296875
1980-06-09,6597.20556640625
1980-06-10,7057.4013671875
1980-06-11,7355.388671875
1980-06-12,7435.744140625
1980-06-13,7337.79052734375
1980-06-14,7133.33984375
1980-06-15,6889.50634765625
1980-06-16,6667.671875
1980-06-17,6531.888671875
1980-06-18,6545.61865234375
1980-06-19,6736.75830078125
1980-06-20,7026.21923828125
1980-06-21,7249.18505859375
1980-06-22,7287.603515625
1980-06-23,7149.77783203125
1980-06-24,6919.89453125
1980-06-25,6680.1982421875
1980-06-26,6473.32421875
1980-06-27,6307.7412109375
1980-06-28,6170.23828125
1980-06-29,6043.20166015625
1980-06-30,5913.93017578125
1980-07-01,5780.7470703125
1980-07-02,5649.29052734375
1980-07-03,5518.32568359375
1980-07-04,5383.7724609375
1980-07-05,5251.33984375
1980-07-06,5137.3154296875
1980-07-07,5055.791015625
1980-07-08,5005.6025390625
1980-07-09,4963.34521484375
1980-07-10,4898.93798828125
1980-07-11,4800.12939453125
1980-07-12,4674.052734375
1980-07-13,4536.6591796875
1980-07-14,4404.04345703125
1980-07-15,4291.3515625
1980-07-16,4214.1669921875
1980-07-17,4194.09619140625
1980-07-18,4265.73095703125
1980-07-19,4479.193359375
1980-07-20,4851.61181640625
1980-07-21,5283.08740234375
1980-07-22,5611.53955078125
1980-07-23,5765.10205078125
1980-07-24,5779.6904296875
1980-07-25,5724.62548828125
1980-07-26,5656.83251953125
1980-07-27,5611.83056640625
1980-07-28,5602.99072265625
1980-07-29,5626.51123046875
1980-07-30,5669.37353515625
1980-07-31,5712.5673828125
1980-08-01,5750.50634765625
