datetime,Water Level (m) Data,,,,Discharge Q (m3/s)  data,,
2017-08-05 00, Max, Min, Average, ,Max,Min,Average
2017-08-05 05,3.315,3.303,3.308, ,321.307,317.150,318.762
2017-08-05 06,3.300,3.246,3.275, ,316.117,297.930,307.628
2017-08-05 07,3.244,3.204,3.226, ,297.272,284.317,291.444
2017-08-05 08,3.204,3.173,3.186, ,284.317,274.561,278.518
2017-08-05 09,3.169,3.144,3.155, ,273.320,265.656,268.958
2017-08-05 10,3.141,3.132,3.136, ,264.746,262.032,263.312
2017-08-05 11,3.138,3.129,3.133, ,263.840,261.132,262.333
2017-08-05 12,3.197,3.139,3.167, ,282.093,264.142,272.624
2017-08-05 13,3.256,3.199,3.234, ,301.240,282.727,294.021
2017-08-05 14,3.261,3.235,3.258, ,302.904,294.320,301.738
2017-08-05 15,3.233,3.195,3.219, ,293.667,281.459,289.046
2017-08-05 16,3.191,3.126,3.156, ,280.196,260.234,269.468
2017-08-05 17,3.122,3.093,3.104, ,259.040,250.503,253.839
2017-08-05 18,3.090,3.076,3.082, ,249.631,245.593,247.390
2017-08-05 19,3.079,3.073,3.076, ,246.454,244.734,245.593
2017-08-05 20,3.079,3.060,3.072, ,246.454,241.036,244.377
2017-08-05 21,3.060,3.044,3.051, ,241.036,236.541,238.383
2017-08-05 22,3.044,3.029,3.037, ,236.541,232.382,234.709
2017-08-05 23,3.030,3.023,3.027, ,232.657,230.733,231.716
2017-08-06 00,3.026,3.014,3.018, ,231.556,228.275,229.479
2017-08-06 01,3.011,2.983,2.998, ,227.460,219.955,224.020
2017-08-06 02,2.979,2.947,2.962, ,218.898,210.571,214.532
2017-08-06 03,2.944,2.913,2.929, ,209.802,201.976,206.093
2017-08-06 04,2.911,2.887,2.897, ,201.478,195.576,197.979
2017-08-06 05,2.886,2.867,2.876, ,195.333,190.754,192.913
2017-08-06 06,2.867,2.852,2.858, ,190.754,187.194,188.632
2017-08-06 07,2.852,2.844,2.848, ,187.194,185.315,186.332
2017-08-06 08,2.844,2.839,2.842, ,185.315,184.148,184.770
2017-08-06 09,2.840,2.833,2.836, ,184.381,182.754,183.392
2017-08-06 10,2.832,2.823,2.828, ,182.523,180.448,181.579
2017-08-06 11,2.823,2.811,2.816, ,180.448,177.709,178.847
2017-08-06 12,2.813,2.794,2.803, ,178.163,173.879,175.918
2017-08-06 13,2.794,2.784,2.789, ,173.879,171.655,172.746
2017-08-06 14,2.782,2.770,2.775, ,171.212,168.575,169.707
2017-08-06 15,2.767,2.752,2.759, ,167.920,164.674,166.129
2017-08-06 16,2.756,2.749,2.753, ,165.535,164.030,164.925
2017-08-06 17,2.767,2.756,2.761, ,167.920,165.535,166.707
2017-08-06 18,2.778,2.766,2.772, ,170.330,167.702,169.031
2017-08-06 19,2.781,2.774,2.779, ,170.991,169.451,170.514
2017-08-06 20,2.775,2.756,2.767, ,169.670,165.535,167.848
2017-08-06 21,2.754,2.737,2.748, ,165.104,161.473,163.709
2017-08-06 22,2.733,2.717,2.726, ,160.628,157.276,159.103
2017-08-06 23,2.716,2.698,2.706, ,157.068,153.362,154.967
2017-08-07 00,2.696,2.681,2.689, ,152.954,149.920,151.566
2017-08-07 01,2.680,2.669,2.676, ,149.719,147.524,148.852
2017-08-07 02,2.668,2.655,2.663, ,147.326,144.764,146.271
2017-08-07 03,2.655,2.643,2.650, ,144.764,142.428,143.690
2017-08-07 04,2.643,2.633,2.638, ,142.428,140.502,141.495
2017-08-07 05,2.634,2.621,2.629, ,140.694,138.216,139.689
2017-08-07 06,2.620,2.612,2.615, ,138.027,136.519,137.036
2017-08-07 07,2.612,2.601,2.608, ,136.519,134.466,135.770
2017-08-07 08,2.601,2.593,2.597, ,134.466,132.986,133.648
2017-08-07 09,2.594,2.588,2.590, ,133.171,132.068,132.450
2017-08-07 10,2.588,2.577,2.582, ,132.068,130.063,130.972
2017-08-07 11,2.575,2.569,2.572, ,129.701,128.619,129.249
2017-08-07 12,2.572,2.569,2.571, ,129.159,128.619,128.934
2017-08-07 13,2.593,2.572,2.580, ,132.986,129.159,130.683
2017-08-07 14,2.661,2.603,2.627, ,145.942,134.838,139.419
2017-08-07 15,2.809,2.674,2.734, ,177.255,148.519,160.892
2017-08-07 16,2.918,2.826,2.874, ,203.224,181.138,192.352
2017-08-07 17,2.968,2.922,2.945, ,216.009,204.226,209.951
2017-08-07 18,2.985,2.970,2.977, ,220.485,216.532,218.480
2017-08-07 19,3.001,2.988,2.996, ,224.759,221.282,223.395
2017-08-07 20,2.997,2.990,2.994, ,223.685,221.815,222.838
2017-08-07 21,2.992,2.982,2.984, ,222.348,219.691,220.309
2017-08-07 22,2.982,2.957,2.974, ,219.691,213.148,217.669
2017-08-07 23,2.953,2.916,2.935, ,212.114,202.724,207.381
2017-08-08 00,2.912,2.878,2.894, ,201.727,193.396,197.264
2017-08-08 01,2.875,2.834,2.853, ,192.673,182.986,187.352
2017-08-08 02,2.830,2.790,2.811, ,182.060,172.987,177.652
