datetime,streamflow (m3/s)
1980-01-01 00:00:00,10.6008
1980-01-02 00:00:00,41.6507
1980-01-03 00:00:00,54.6177
1980-01-04 00:00:00,61.276
1980-01-05 00:00:00,71.943
1980-01-06 00:00:00,80.1534
1980-01-07 00:00:00,83.1508
1980-01-08 00:00:00,86.3504
1980-01-09 00:00:00,87.2831
1980-01-10 00:00:00,84.6796
1980-01-11 00:00:00,80.6769
1980-01-12 00:00:00,77.2373
1980-01-13 00:00:00,74.8733
1980-01-14 00:00:00,73.4211
1980-01-15 00:00:00,72.2526
1980-01-16 00:00:00,71.5728
1980-01-17 00:00:00,70.8989
1980-01-18 00:00:00,69.583
1980-01-19 00:00:00,69.889
1980-01-20 00:00:00,71.1584
1980-01-21 00:00:00,72.0934
1980-01-22 00:00:00,71.6746
1980-01-23 00:00:00,68.7097
1980-01-24 00:00:00,67.2469
1980-01-25 00:00:00,69.2602
1980-01-26 00:00:00,74.1892
1980-01-27 00:00:00,78.522
1980-01-28 00:00:00,79.6324
1980-01-29 00:00:00,74.8014
1980-01-30 00:00:00,66.9246
1980-01-31 00:00:00,64.6954
1980-02-01 00:00:00,67.0502
1980-02-02 00:00:00,72.1148
1980-02-03 00:00:00,83.9192
1980-02-04 00:00:00,84.2005
1980-02-05 00:00:00,88.7774
1980-02-06 00:00:00,77.5291
1980-02-07 00:00:00,64.6259
1980-02-08 00:00:00,59.7492
1980-02-09 00:00:00,58.8618
1980-02-10 00:00:00,58.2976
1980-02-11 00:00:00,56.0191
1980-02-12 00:00:00,55.0845
1980-02-13 00:00:00,57.7802
1980-02-14 00:00:00,61.1683
1980-02-15 00:00:00,65.8837
1980-02-16 00:00:00,76.2451
1980-02-17 00:00:00,73.7723
1980-02-18 00:00:00,63.4701
1980-02-19 00:00:00,57.5182
1980-02-20 00:00:00,54.8018
1980-02-21 00:00:00,55.2746
1980-02-22 00:00:00,56.7339
1980-02-23 00:00:00,57.1003
1980-02-24 00:00:00,54.4752
1980-02-25 00:00:00,49.6914
1980-02-26 00:00:00,46.0529
1980-02-27 00:00:00,46.3787
1980-02-28 00:00:00,56.0662
1980-02-29 00:00:00,82.1273
1980-03-01 00:00:00,93.3435
1980-03-02 00:00:00,77.9296
1980-03-03 00:00:00,62.4271
1980-03-04 00:00:00,55.6528
1980-03-05 00:00:00,83.3312
1980-03-06 00:00:00,207.57
1980-03-07 00:00:00,306.686
1980-03-08 00:00:00,263.745
1980-03-09 00:00:00,154.889
1980-03-10 00:00:00,98.7349
1980-03-11 00:00:00,73.5114
1980-03-12 00:00:00,66.1562
1980-03-13 00:00:00,66.0541
1980-03-14 00:00:00,65.3088
1980-03-15 00:00:00,67.3862
1980-03-16 00:00:00,69.9864
1980-03-17 00:00:00,71.977
1980-03-18 00:00:00,68.1006
1980-03-19 00:00:00,58.6527
1980-03-20 00:00:00,49.6547
1980-03-21 00:00:00,44.3663
1980-03-22 00:00:00,41.4861
1980-03-23 00:00:00,46.6854
1980-03-24 00:00:00,59.3132
1980-03-25 00:00:00,64.2891
1980-03-26 00:00:00,73.0162
1980-03-27 00:00:00,91.8271
1980-03-28 00:00:00,90.135
1980-03-29 00:00:00,81.0021
1980-03-30 00:00:00,97.8193
1980-03-31 00:00:00,116.511
1980-04-01 00:00:00,107.269
1980-04-02 00:00:00,87.5509
1980-04-03 00:00:00,97.3668
1980-04-04 00:00:00,144.992
1980-04-05 00:00:00,158.883
1980-04-06 00:00:00,121.821
1980-04-07 00:00:00,102.569
1980-04-08 00:00:00,113.44
1980-04-09 00:00:00,140.149
1980-04-10 00:00:00,196.653
1980-04-11 00:00:00,237.278
1980-04-12 00:00:00,272.77
1980-04-13 00:00:00,303.294
1980-04-14 00:00:00,330.233
1980-04-15 00:00:00,321.031
1980-04-16 00:00:00,305.665
1980-04-17 00:00:00,297.35
1980-04-18 00:00:00,296.855
1980-04-19 00:00:00,312.569
1980-04-20 00:00:00,332.489
1980-04-21 00:00:00,363.257
1980-04-22 00:00:00,418.281
1980-04-23 00:00:00,499.275
1980-04-24 00:00:00,554.979
1980-04-25 00:00:00,545.942
1980-04-26 00:00:00,515.792
1980-04-27 00:00:00,546.747
1980-04-28 00:00:00,663.832
1980-04-29 00:00:00,811.143
1980-04-30 00:00:00,932.03
1980-05-01 00:00:00,1007.89
1980-05-02 00:00:00,1054.5
1980-05-03 00:00:00,1128.02
1980-05-04 00:00:00,1261.41
1980-05-05 00:00:00,1384.42
1980-05-06 00:00:00,1451.05
1980-05-07 00:00:00,1463.35
1980-05-08 00:00:00,1445.52
1980-05-09 00:00:00,1416.93
1980-05-10 00:00:00,1399.42
1980-05-11 00:00:00,1355.66
1980-05-12 00:00:00,1268.66
1980-05-13 00:00:00,1179.16
1980-05-14 00:00:00,1090.64
1980-05-15 00:00:00,960.271
1980-05-16 00:00:00,829.305
1980-05-17 00:00:00,753.641
1980-05-18 00:00:00,715.467
1980-05-19 00:00:00,687.226
1980-05-20 00:00:00,667.281
1980-05-21 00:00:00,649.476
1980-05-22 00:00:00,624.019
1980-05-23 00:00:00,582.524
1980-05-24 00:00:00,534.507
1980-05-25 00:00:00,481.689
1980-05-26 00:00:00,436.958
1980-05-27 00:00:00,410.615
1980-05-28 00:00:00,370.924
1980-05-29 00:00:00,316.805
1980-05-30 00:00:00,282.536
1980-05-31 00:00:00,287.764
1980-06-01 00:00:00,359.725
1980-06-02 00:00:00,451.205
1980-06-03 00:00:00,509.76
1980-06-04 00:00:00,566.145
1980-06-05 00:00:00,592.649
1980-06-06 00:00:00,542.125
1980-06-07 00:00:00,416.526
1980-06-08 00:00:00,281.844
1980-06-09 00:00:00,221.033
1980-06-10 00:00:00,243.698
1980-06-11 00:00:00,350.839
1980-06-12 00:00:00,508.516
1980-06-13 00:00:00,591.911
1980-06-14 00:00:00,550.924
1980-06-15 00:00:00,494.824
1980-06-16 00:00:00,564.968
1980-06-17 00:00:00,572.573
1980-06-18 00:00:00,495.968
1980-06-19 00:00:00,444.144
1980-06-20 00:00:00,489.917
1980-06-21 00:00:00,605.848
1980-06-22 00:00:00,767.334
1980-06-23 00:00:00,842.324
1980-06-24 00:00:00,823.093
1980-06-25 00:00:00,838.05
1980-06-26 00:00:00,830.686
1980-06-27 00:00:00,726.853
1980-06-28 00:00:00,575.678
1980-06-29 00:00:00,439.196
1980-06-30 00:00:00,355.104
