datetime,streamflow (m3/s)
1980-01-01 00:00:00,0.647796
1980-01-02 00:00:00,10.8522
1980-01-03 00:00:00,27.4114
1980-01-04 00:00:00,40.0179
1980-01-05 00:00:00,47.3395
1980-01-06 00:00:00,50.5826
1980-01-07 00:00:00,51.4205
1980-01-08 00:00:00,51.1008
1980-01-09 00:00:00,52.0869
1980-01-10 00:00:00,53.5284
1980-01-11 00:00:00,54.7269
1980-01-12 00:00:00,54.5589
1980-01-13 00:00:00,53.5674
1980-01-14 00:00:00,51.7705
1980-01-15 00:00:00,50.5876
1980-01-16 00:00:00,49.3379
1980-01-17 00:00:00,48.8896
1980-01-18 00:00:00,51.0674
1980-01-19 00:00:00,54.34
1980-01-20 00:00:00,57.3575
1980-01-21 00:00:00,60.5418
1980-01-22 00:00:00,62.5854
1980-01-23 00:00:00,60.7284
1980-01-24 00:00:00,56.4983
1980-01-25 00:00:00,52.3459
1980-01-26 00:00:00,49.7176
1980-01-27 00:00:00,47.9906
1980-01-28 00:00:00,46.5179
1980-01-29 00:00:00,44.6739
1980-01-30 00:00:00,42.2958
1980-01-31 00:00:00,39.8796
1980-02-01 00:00:00,38.4846
1980-02-02 00:00:00,37.4743
1980-02-03 00:00:00,42.0376
1980-02-04 00:00:00,48.08
1980-02-05 00:00:00,49.5947
1980-02-06 00:00:00,48.977
1980-02-07 00:00:00,45.3214
1980-02-08 00:00:00,40.8261
1980-02-09 00:00:00,37.4086
1980-02-10 00:00:00,36.0444
1980-02-11 00:00:00,35.3648
1980-02-12 00:00:00,34.249
1980-02-13 00:00:00,33.9472
1980-02-14 00:00:00,34.3939
1980-02-15 00:00:00,33.1204
1980-02-16 00:00:00,37.0274
1980-02-17 00:00:00,53.5201
1980-02-18 00:00:00,54.6918
1980-02-19 00:00:00,50.2262
1980-02-20 00:00:00,44.6311
1980-02-21 00:00:00,39.5461
1980-02-22 00:00:00,35.8591
1980-02-23 00:00:00,33.3069
1980-02-24 00:00:00,31.2478
1980-02-25 00:00:00,29.3116
1980-02-26 00:00:00,27.5739
1980-02-27 00:00:00,26.1647
1980-02-28 00:00:00,24.4034
1980-02-29 00:00:00,25.7268
1980-03-01 00:00:00,45.8706
1980-03-02 00:00:00,71.2531
1980-03-03 00:00:00,79.3337
1980-03-04 00:00:00,67.4977
1980-03-05 00:00:00,53.8642
1980-03-06 00:00:00,55.4924
1980-03-07 00:00:00,95.937
1980-03-08 00:00:00,143.177
1980-03-09 00:00:00,129.274
1980-03-10 00:00:00,100.483
1980-03-11 00:00:00,77.7205
1980-03-12 00:00:00,59.5948
1980-03-13 00:00:00,48.1463
1980-03-14 00:00:00,42.2799
1980-03-15 00:00:00,40.9502
1980-03-16 00:00:00,39.3611
1980-03-17 00:00:00,38.8633
1980-03-18 00:00:00,41.5937
1980-03-19 00:00:00,39.7983
1980-03-20 00:00:00,35.425
1980-03-21 00:00:00,31.6583
1980-03-22 00:00:00,28.1615
1980-03-23 00:00:00,25.868
1980-03-24 00:00:00,27.9027
1980-03-25 00:00:00,27.3168
1980-03-26 00:00:00,25.839
1980-03-27 00:00:00,30.6515
1980-03-28 00:00:00,40.705
1980-03-29 00:00:00,44.5037
1980-03-30 00:00:00,42.7054
1980-03-31 00:00:00,41.2447
1980-04-01 00:00:00,42.0735
1980-04-02 00:00:00,39.6151
1980-04-03 00:00:00,34.1579
1980-04-04 00:00:00,31.5162
1980-04-05 00:00:00,38.4069
1980-04-06 00:00:00,39.3255
1980-04-07 00:00:00,34.6548
1980-04-08 00:00:00,28.6866
1980-04-09 00:00:00,23.8288
1980-04-10 00:00:00,20.7818
1980-04-11 00:00:00,19.3725
1980-04-12 00:00:00,19.975
1980-04-13 00:00:00,19.4239
1980-04-14 00:00:00,18.4712
1980-04-15 00:00:00,17.6895
1980-04-16 00:00:00,16.1874
1980-04-17 00:00:00,16.4043
1980-04-18 00:00:00,27.6225
1980-04-19 00:00:00,43.4537
1980-04-20 00:00:00,62.8044
1980-04-21 00:00:00,101.2
1980-04-22 00:00:00,161.513
1980-04-23 00:00:00,225.432
1980-04-24 00:00:00,278.285
1980-04-25 00:00:00,297.947
1980-04-26 00:00:00,278.255
1980-04-27 00:00:00,273.52
1980-04-28 00:00:00,306.485
1980-04-29 00:00:00,344.605
1980-04-30 00:00:00,367.238
1980-05-01 00:00:00,377.475
1980-05-02 00:00:00,376.316
1980-05-03 00:00:00,355.041
1980-05-04 00:00:00,341.093
1980-05-05 00:00:00,340.197
1980-05-06 00:00:00,330.012
1980-05-07 00:00:00,301.371
1980-05-08 00:00:00,259.69
1980-05-09 00:00:00,222.044
1980-05-10 00:00:00,193.585
1980-05-11 00:00:00,172.306
1980-05-12 00:00:00,163.929
1980-05-13 00:00:00,152.771
1980-05-14 00:00:00,132.088
1980-05-15 00:00:00,110.592
1980-05-16 00:00:00,107.338
1980-05-17 00:00:00,110.837
1980-05-18 00:00:00,106.486
1980-05-19 00:00:00,98.584
1980-05-20 00:00:00,92.1506
1980-05-21 00:00:00,85.9854
1980-05-22 00:00:00,74.6444
1980-05-23 00:00:00,61.0322
1980-05-24 00:00:00,48.4241
1980-05-25 00:00:00,38.2299
1980-05-26 00:00:00,31.2625
1980-05-27 00:00:00,26.1604
1980-05-28 00:00:00,74.3169
1980-05-29 00:00:00,205.046
1980-05-30 00:00:00,325.744
1980-05-31 00:00:00,329.06
1980-06-01 00:00:00,337.263
1980-06-02 00:00:00,452.976
1980-06-03 00:00:00,492.624
1980-06-04 00:00:00,435.383
1980-06-05 00:00:00,367.848
1980-06-06 00:00:00,290.027
1980-06-07 00:00:00,210.026
1980-06-08 00:00:00,203.822
1980-06-09 00:00:00,543.218
1980-06-10 00:00:00,1171.79
1980-06-11 00:00:00,1456.59
1980-06-12 00:00:00,1218.73
1980-06-13 00:00:00,862.093
1980-06-14 00:00:00,580.275
1980-06-15 00:00:00,431.873
1980-06-16 00:00:00,387.292
1980-06-17 00:00:00,383.571
1980-06-18 00:00:00,455.029
1980-06-19 00:00:00,538.308
1980-06-20 00:00:00,549.3
1980-06-21 00:00:00,573.342
1980-06-22 00:00:00,593.914
1980-06-23 00:00:00,547.442
1980-06-24 00:00:00,437.917
1980-06-25 00:00:00,347.058
1980-06-26 00:00:00,374.86
1980-06-27 00:00:00,474.96
1980-06-28 00:00:00,512.405
1980-06-29 00:00:00,448.684
1980-06-30 00:00:00,361.878
1980-07-01 00:00:00,314.553
1980-07-02 00:00:00,364.971
1980-07-03 00:00:00,478.387
1980-07-04 00:00:00,482.994
1980-07-05 00:00:00,437.966
1980-07-06 00:00:00,442.725
1980-07-07 00:00:00,961.765
1980-07-08 00:00:00,1358.6
1980-07-09 00:00:00,1303.65
1980-07-10 00:00:00,1067.65
1980-07-11 00:00:00,806.585
1980-07-12 00:00:00,584.675
1980-07-13 00:00:00,447.75
1980-07-14 00:00:00,347.922
1980-07-15 00:00:00,652.372
1980-07-16 00:00:00,1450.38
1980-07-17 00:00:00,1938.28
1980-07-18 00:00:00,1789.85
1980-07-19 00:00:00,1532.43
1980-07-20 00:00:00,1734.46
1980-07-21 00:00:00,2078.19
1980-07-22 00:00:00,2705.48
1980-07-23 00:00:00,2742.97
1980-07-24 00:00:00,2047.41
1980-07-25 00:00:00,1382.88
1980-07-26 00:00:00,950.633
1980-07-27 00:00:00,714.401
1980-07-28 00:00:00,575.565
1980-07-29 00:00:00,485.525
1980-07-30 00:00:00,441.314
1980-07-31 00:00:00,425.319
1980-08-01 00:00:00,415.574
1980-08-02 00:00:00,452.056
1980-08-03 00:00:00,514.835
1980-08-04 00:00:00,529.707
1980-08-05 00:00:00,551.442
1980-08-06 00:00:00,615.384
1980-08-07 00:00:00,689.552
1980-08-08 00:00:00,729.06
1980-08-09 00:00:00,687.745
1980-08-10 00:00:00,585.18
1980-08-11 00:00:00,517.157
1980-08-12 00:00:00,495.801
1980-08-13 00:00:00,508.916
1980-08-14 00:00:00,515.982
1980-08-15 00:00:00,504.479
1980-08-16 00:00:00,516.382
1980-08-17 00:00:00,562.503
1980-08-18 00:00:00,574.148
1980-08-19 00:00:00,566.347
1980-08-20 00:00:00,559.718
1980-08-21 00:00:00,571.6
1980-08-22 00:00:00,592.898
1980-08-23 00:00:00,553.357
1980-08-24 00:00:00,507.305
1980-08-25 00:00:00,581.964
1980-08-26 00:00:00,698.431
1980-08-27 00:00:00,724.361
1980-08-28 00:00:00,664.957
1980-08-29 00:00:00,672.216
1980-08-30 00:00:00,668.696
1980-08-31 00:00:00,623.04
1980-09-01 00:00:00,781.489
1980-09-02 00:00:00,1170.53
1980-09-03 00:00:00,1331.06
1980-09-04 00:00:00,1119.57
1980-09-05 00:00:00,901.785
1980-09-06 00:00:00,792.953
1980-09-07 00:00:00,748.84
1980-09-08 00:00:00,675.421
1980-09-09 00:00:00,597.605
1980-09-10 00:00:00,584.563
1980-09-11 00:00:00,628.143
1980-09-12 00:00:00,657.016
