Datetime,Streamflow (cms)
1980-01-01 00:00:00,0.0
1980-01-02 00:00:00,15.8061
1980-01-03 00:00:00,67.3009
1980-01-04 00:00:00,145.961
1980-01-05 00:00:00,284.906
1980-01-06 00:00:00,457.784
1980-01-07 00:00:00,680.8610000000001
1980-01-08 00:00:00,946.802
1980-01-09 00:00:00,1238.32
1980-01-10 00:00:00,1538.61
1980-01-11 00:00:00,1823.64
1980-01-12 00:00:00,2087.42
1980-01-13 00:00:00,2315.65
1980-01-14 00:00:00,2483.22
1980-01-15 00:00:00,2591.56
1980-01-16 00:00:00,2667.93
1980-01-17 00:00:00,2733.91
1980-01-18 00:00:00,2796.34
1980-01-19 00:00:00,2864.25
1980-01-20 00:00:00,2932.85
1980-01-21 00:00:00,2986.39
1980-01-22 00:00:00,3021.29
1980-01-23 00:00:00,3041.53
1980-01-24 00:00:00,3065.03
1980-01-25 00:00:00,3135.05
1980-01-26 00:00:00,3297.5
1980-01-27 00:00:00,3550.61
1980-01-28 00:00:00,3838.01
1980-01-29 00:00:00,4111.22
1980-01-30 00:00:00,4329.12
1980-01-31 00:00:00,4413.47
1980-02-01 00:00:00,4313.71
1980-02-02 00:00:00,4079.37
1980-02-03 00:00:00,3821.14
1980-02-04 00:00:00,3603.98
1980-02-05 00:00:00,3412.46
1980-02-06 00:00:00,3204.45
1980-02-07 00:00:00,2970.19
1980-02-08 00:00:00,2753.79
1980-02-09 00:00:00,2656.09
1980-02-10 00:00:00,2751.75
1980-02-11 00:00:00,3034.72
1980-02-12 00:00:00,3498.67
1980-02-13 00:00:00,4045.06
1980-02-14 00:00:00,4417.92
1980-02-15 00:00:00,4499.74
1980-02-16 00:00:00,4396.35
1980-02-17 00:00:00,4288.25
1980-02-18 00:00:00,4264.97
1980-02-19 00:00:00,4317.11
1980-02-20 00:00:00,4384.39
1980-02-21 00:00:00,4375.55
1980-02-22 00:00:00,4233.38
1980-02-23 00:00:00,3984.78
1980-02-24 00:00:00,3700.24
1980-02-25 00:00:00,3438.8
1980-02-26 00:00:00,3237.54
1980-02-27 00:00:00,3092.07
1980-02-28 00:00:00,2978.12
1980-02-29 00:00:00,2915.7
1980-03-01 00:00:00,2951.6
1980-03-02 00:00:00,3097.88
1980-03-03 00:00:00,3331.36
1980-03-04 00:00:00,3573.85
1980-03-05 00:00:00,3714.28
1980-03-06 00:00:00,3727.17
1980-03-07 00:00:00,3678.19
1980-03-08 00:00:00,3618.71
1980-03-09 00:00:00,3571.59
1980-03-10 00:00:00,3555.5
1980-03-11 00:00:00,3567.09
1980-03-12 00:00:00,3614.15
1980-03-13 00:00:00,3701.67
1980-03-14 00:00:00,3782.48
1980-03-15 00:00:00,3800.56
