Datetime,Streamflow (cms)
1980-01-01 00:00:00,0.0
1980-01-02 00:00:00,9.00146
1980-01-03 00:00:00,13.7304
1980-01-04 00:00:00,15.6265
1980-01-05 00:00:00,14.5074
1980-01-06 00:00:00,12.7613
1980-01-07 00:00:00,12.6779
1980-01-08 00:00:00,12.9068
1980-01-09 00:00:00,12.7246
1980-01-10 00:00:00,12.3332
1980-01-11 00:00:00,11.9609
1980-01-12 00:00:00,17.4684
1980-01-13 00:00:00,22.9688
1980-01-14 00:00:00,19.4925
1980-01-15 00:00:00,14.0364
1980-01-16 00:00:00,19.5189
1980-01-17 00:00:00,19.1181
1980-01-18 00:00:00,17.4732
1980-01-19 00:00:00,27.7667
1980-01-20 00:00:00,28.1776
1980-01-21 00:00:00,23.8048
1980-01-22 00:00:00,15.8029
1980-01-23 00:00:00,11.4499
1980-01-24 00:00:00,10.436
1980-01-25 00:00:00,10.0098
1980-01-26 00:00:00,12.7132
1980-01-27 00:00:00,11.3277
1980-01-28 00:00:00,9.57933
1980-01-29 00:00:00,9.49275
1980-01-30 00:00:00,10.1229
1980-01-31 00:00:00,22.7835
1980-02-01 00:00:00,74.7813
1980-02-02 00:00:00,59.8077
1980-02-03 00:00:00,32.2443
1980-02-04 00:00:00,26.8857
1980-02-05 00:00:00,40.2693
1980-02-06 00:00:00,30.0044
1980-02-07 00:00:00,22.781
1980-02-08 00:00:00,51.43
1980-02-09 00:00:00,37.3528
1980-02-10 00:00:00,29.3699
1980-02-11 00:00:00,25.0526
1980-02-12 00:00:00,16.5554
1980-02-13 00:00:00,10.7653
1980-02-14 00:00:00,7.74262
1980-02-15 00:00:00,7.754989999999999
1980-02-16 00:00:00,7.684139999999999
1980-02-17 00:00:00,8.38896
1980-02-18 00:00:00,13.3734
1980-02-19 00:00:00,16.0989
1980-02-20 00:00:00,13.1307
1980-02-21 00:00:00,30.7399
1980-02-22 00:00:00,49.7026
1980-02-23 00:00:00,35.2056
1980-02-24 00:00:00,23.3519
1980-02-25 00:00:00,14.5584
1980-02-26 00:00:00,10.7642
1980-02-27 00:00:00,13.3122
1980-02-28 00:00:00,19.4808
1980-02-29 00:00:00,13.8691
1980-03-01 00:00:00,7.9219100000000005
1980-03-02 00:00:00,8.513580000000001
1980-03-03 00:00:00,8.18263
1980-03-04 00:00:00,11.3021
1980-03-05 00:00:00,26.9272
1980-03-06 00:00:00,28.5758
1980-03-07 00:00:00,20.4392
1980-03-08 00:00:00,12.3386
1980-03-09 00:00:00,12.6987
1980-03-10 00:00:00,12.4129
1980-03-11 00:00:00,11.8355
1980-03-12 00:00:00,15.5764
1980-03-13 00:00:00,16.3527
1980-03-14 00:00:00,13.7915
1980-03-15 00:00:00,14.5979
1980-03-16 00:00:00,16.7155
1980-03-17 00:00:00,13.4908
1980-03-18 00:00:00,14.1575
1980-03-19 00:00:00,22.4791
1980-03-20 00:00:00,39.7594
1980-03-21 00:00:00,30.6333
1980-03-22 00:00:00,13.523
1980-03-23 00:00:00,14.5945
1980-03-24 00:00:00,17.2088
1980-03-25 00:00:00,28.3907
1980-03-26 00:00:00,67.8976
1980-03-27 00:00:00,40.2944
1980-03-28 00:00:00,11.5846
1980-03-29 00:00:00,12.1312
1980-03-30 00:00:00,11.2121
1980-03-31 00:00:00,13.1453
1980-04-01 00:00:00,15.4282
1980-04-02 00:00:00,32.3323
1980-04-03 00:00:00,53.9141
1980-04-04 00:00:00,46.7659
1980-04-05 00:00:00,91.0417
1980-04-06 00:00:00,77.4201
1980-04-07 00:00:00,29.5882
1980-04-08 00:00:00,37.6656
1980-04-09 00:00:00,68.3157
1980-04-10 00:00:00,77.2978
1980-04-11 00:00:00,52.0466
1980-04-12 00:00:00,40.7682
1980-04-13 00:00:00,31.2241
1980-04-14 00:00:00,35.0715
1980-04-15 00:00:00,30.8028
1980-04-16 00:00:00,22.4549
1980-04-17 00:00:00,21.5328
1980-04-18 00:00:00,17.968
1980-04-19 00:00:00,15.6948
1980-04-20 00:00:00,16.8253
1980-04-21 00:00:00,14.8302
1980-04-22 00:00:00,15.334000000000001
1980-04-23 00:00:00,20.8532
1980-04-24 00:00:00,19.8628
1980-04-25 00:00:00,19.3078
1980-04-26 00:00:00,23.3017
1980-04-27 00:00:00,20.7595
1980-04-28 00:00:00,20.7124
1980-04-29 00:00:00,23.26
1980-04-30 00:00:00,22.1572
1980-05-01 00:00:00,27.7605
1980-05-02 00:00:00,34.6676
1980-05-03 00:00:00,30.4381
1980-05-04 00:00:00,42.5797
1980-05-05 00:00:00,30.2105
1980-05-06 00:00:00,16.6765
1980-05-07 00:00:00,15.6643
1980-05-08 00:00:00,16.3818
1980-05-09 00:00:00,15.3924
1980-05-10 00:00:00,13.7043
1980-05-11 00:00:00,14.4595
1980-05-12 00:00:00,20.8748
1980-05-13 00:00:00,33.5121
1980-05-14 00:00:00,34.5913
1980-05-15 00:00:00,23.8102
1980-05-16 00:00:00,14.6254
1980-05-17 00:00:00,15.7197
1980-05-18 00:00:00,32.8136
1980-05-19 00:00:00,37.9585
1980-05-20 00:00:00,26.295
1980-05-21 00:00:00,20.4711
1980-05-22 00:00:00,23.3824
1980-05-23 00:00:00,36.3462
1980-05-24 00:00:00,30.8529
1980-05-25 00:00:00,16.2599
1980-05-26 00:00:00,20.8919
1980-05-27 00:00:00,20.4967
1980-05-28 00:00:00,13.7263
1980-05-29 00:00:00,11.1278
1980-05-30 00:00:00,12.3105
1980-05-31 00:00:00,12.2776
1980-06-01 00:00:00,13.788
1980-06-02 00:00:00,16.2868
1980-06-03 00:00:00,36.8539
1980-06-04 00:00:00,29.6392
1980-06-05 00:00:00,22.4352
1980-06-06 00:00:00,16.5484
1980-06-07 00:00:00,14.1677
1980-06-08 00:00:00,14.043
1980-06-09 00:00:00,13.6631
1980-06-10 00:00:00,16.3621
1980-06-11 00:00:00,22.5266
1980-06-12 00:00:00,40.2311
1980-06-13 00:00:00,38.3191
1980-06-14 00:00:00,35.5289
1980-06-15 00:00:00,29.8143
1980-06-16 00:00:00,20.4438
1980-06-17 00:00:00,13.1017
1980-06-18 00:00:00,13.0813
1980-06-19 00:00:00,12.2868
1980-06-20 00:00:00,10.4024
1980-06-21 00:00:00,31.4637
1980-06-22 00:00:00,66.7295
1980-06-23 00:00:00,38.3689
1980-06-24 00:00:00,15.1888
1980-06-25 00:00:00,11.7866
1980-06-26 00:00:00,14.4127
1980-06-27 00:00:00,21.086
1980-06-28 00:00:00,20.6475
1980-06-29 00:00:00,14.3119
1980-06-30 00:00:00,10.9586
1980-07-01 00:00:00,12.982999999999999
1980-07-02 00:00:00,13.7049
1980-07-03 00:00:00,14.3075
1980-07-04 00:00:00,15.4793
1980-07-05 00:00:00,15.4004
1980-07-06 00:00:00,16.8261
1980-07-07 00:00:00,14.4803
1980-07-08 00:00:00,10.7567
1980-07-09 00:00:00,10.7973
1980-07-10 00:00:00,15.7691
1980-07-11 00:00:00,26.9124
1980-07-12 00:00:00,31.5564
1980-07-13 00:00:00,33.4186
1980-07-14 00:00:00,23.406999999999996
1980-07-15 00:00:00,16.3045
1980-07-16 00:00:00,26.5096
1980-07-17 00:00:00,17.6557
1980-07-18 00:00:00,8.59163
1980-07-19 00:00:00,8.447510000000001
1980-07-20 00:00:00,10.7865
1980-07-21 00:00:00,11.6364
1980-07-22 00:00:00,13.8334
1980-07-23 00:00:00,22.5215
1980-07-24 00:00:00,17.873
1980-07-25 00:00:00,12.7991
1980-07-26 00:00:00,10.0494
1980-07-27 00:00:00,8.22733
1980-07-28 00:00:00,14.6749
1980-07-29 00:00:00,24.6136
1980-07-30 00:00:00,15.4723
1980-07-31 00:00:00,10.6539
1980-08-01 00:00:00,41.1547
1980-08-02 00:00:00,29.8365
1980-08-03 00:00:00,11.1213
1980-08-04 00:00:00,8.16798
1980-08-05 00:00:00,13.1957
1980-08-06 00:00:00,10.8426
1980-08-07 00:00:00,9.80843
1980-08-08 00:00:00,9.23845
1980-08-09 00:00:00,8.10017
1980-08-10 00:00:00,12.1906
1980-08-11 00:00:00,9.898060000000001
1980-08-12 00:00:00,7.925619999999999
1980-08-13 00:00:00,8.3691
1980-08-14 00:00:00,7.7089300000000005
1980-08-15 00:00:00,9.601189999999999
1980-08-16 00:00:00,15.2851
1980-08-17 00:00:00,11.4635
1980-08-18 00:00:00,9.05492
1980-08-19 00:00:00,11.5556
1980-08-20 00:00:00,9.9331
1980-08-21 00:00:00,7.96471
1980-08-22 00:00:00,6.78723
1980-08-23 00:00:00,6.292619999999999
1980-08-24 00:00:00,9.08826
1980-08-25 00:00:00,7.95764
1980-08-26 00:00:00,6.100169999999999
1980-08-27 00:00:00,6.41734
1980-08-28 00:00:00,14.1197
1980-08-29 00:00:00,13.2564
1980-08-30 00:00:00,7.99642
1980-08-31 00:00:00,8.13293
1980-09-01 00:00:00,8.37983
1980-09-02 00:00:00,9.83099
