datetime,ensemble_01 (m3/s),ensemble_02 (m3/s),ensemble_03 (m3/s),ensemble_04 (m3/s),ensemble_05 (m3/s),ensemble_06 (m3/s),ensemble_07 (m3/s),ensemble_08 (m3/s),ensemble_09 (m3/s),ensemble_10 (m3/s),ensemble_11 (m3/s),ensemble_12 (m3/s),ensemble_13 (m3/s),ensemble_14 (m3/s),ensemble_15 (m3/s),ensemble_16 (m3/s),ensemble_17 (m3/s),ensemble_18 (m3/s),ensemble_19 (m3/s),ensemble_20 (m3/s),ensemble_21 (m3/s),ensemble_22 (m3/s),ensemble_23 (m3/s),ensemble_24 (m3/s),ensemble_25 (m3/s),ensemble_26 (m3/s),ensemble_27 (m3/s),ensemble_28 (m3/s),ensemble_29 (m3/s),ensemble_30 (m3/s),ensemble_31 (m3/s),ensemble_32 (m3/s),ensemble_33 (m3/s),ensemble_34 (m3/s),ensemble_35 (m3/s),ensemble_36 (m3/s),ensemble_37 (m3/s),ensemble_38 (m3/s),ensemble_39 (m3/s),ensemble_40 (m3/s),ensemble_41 (m3/s),ensemble_42 (m3/s),ensemble_43 (m3/s),ensemble_44 (m3/s),ensemble_45 (m3/s),ensemble_46 (m3/s),ensemble_47 (m3/s),ensemble_48 (m3/s),ensemble_49 (m3/s),ensemble_50 (m3/s),ensemble_51 (m3/s)
8/9/2017 0:00,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34,1066.34
8/9/2017 3:00,1085.98,1077.72,1075.42,1080.74,1085.74,1078.25,1079.87,1088.13,1078.84,1085.65,1077.71,1085.84,1076.95,1092.42,1088.84,1087.24,1086.45,1078.26,1077.16,1089.5,1082.79,1084.84,1084.78,1080.42,1078.07,1081.83,1086.34,1078.26,1083.22,1088.52,1077.57,1086.76,1085.47,1063.86,1110.53,1077.02,1087.58,1080.15,1078.24,1085.72,1085.78,1076.66,1068.59,1085.77,1077.69,1085.69,1086.57,1086.35,1080.22,1085.27,1085.14
8/9/2017 6:00,1123.01,1105.14,959.641,1113.09,1122.76,1109.83,1112.19,1129.89,1111.36,1127.89,1103.23,1121.21,1102.19,1144.54,1132.5,1119.64,1122.66,1108.78,1098.23,1137.88,1130.69,1123.41,1121.79,1112.17,1108.36,1113.98,1122.06,1107.35,1117.06,1134.12,1105.55,1134.14,1123.03,1082.92,1184.98,1103.08,1128.2,1113.04,1109.2,1119.2,1122.22,1102.63,1106.46,1127.17,1108.28,1127.95,1135.5,1122.79,1112.87,1120.7,1123.4
8/9/2017 9:00,1147.99,1140.13,982.03,1147.1,1150.19,1149.73,1139.99,1158.4,1144.39,1152.6,1133.18,1144.89,1135.41,1158.37,1163.05,1138.53,1135.99,1137.73,1121.44,1172.38,1178.45,1145.94,1163.52,1139.56,1142.48,1155.07,1149.31,1156.6,1148.4,1169.62,1142.51,1167.17,1149.58,1135.01,1227.06,1129.15,1167,1146.68,1141.84,1144.78,1148.35,1132.94,1170.66,1162.01,1143.27,1162.92,1186.48,1145.26,1144.19,1145.65,1139.52
8/9/2017 12:00,1161.72,1158.89,1102.39,1188.54,1146.2,1211.81,1163.89,1173.32,1168.62,1188.81,1160.63,1160.91,1168.51,1183.61,1180.1,1170.78,1141.38,1173.02,1150.08,1184.49,1215.5,1162.34,1198.83,1182.46,1175.3,1167.3,1152.82,1202.58,1184.34,1189.13,1188.34,1174.28,1164.33,1189.6,1245.46,1149.98,1098.47,1166.1,1175.92,1161.36,1166.29,1164.94,1227.1,1187.89,1179.85,1189.16,1226.53,1167.56,1167.01,1168.96,1163.48
8/9/2017 15:00,1162.98,1157.33,1266.3,1214.55,1125.83,1244.99,1182.34,1176.5,1182.4,1200.35,1175.69,1166.86,1187.72,1201.68,1184.59,1202.35,1177.04,1197.33,1184.47,1182.42,1241.84,1175.11,1203.05,1211.17,1190.76,1179.54,1158.68,1231.64,1206.01,1190.44,1207.23,1177.85,1170.21,1221.24,1247.13,1160.11,984.301,1179.64,1202.43,1165.65,1168.5,1184.58,1271.85,1202.48,1201.09,1202.37,1242.93,1182.3,1178.37,1167.04,1179.73
8/9/2017 18:00,1151.03,1161.65,1385.15,1201.74,1114.11,1253.74,1188.94,1170.72,1183.72,1150.11,1176.73,1216.24,1192.27,1194.45,1180.54,1205.24,1200.85,1200.74,1192.52,1173.5,1245.4,1172.31,1196.08,1222.16,1195.34,1186.07,1155.03,1239.56,1203.39,1186.76,1200.98,1168.75,1161.78,1235.51,1248.16,1165.82,972.111,1184.32,1198.38,1157.97,1160.76,1194.95,1298.46,1197.46,1202.39,1192.21,1242.29,1178.27,1178.98,1166,1183.53
8/9/2017 21:00,1132.19,1172.96,1448.67,1181.33,1071.27,1245.46,1181.6,1155.61,1179.27,965.203,1170.25,1393.33,1185.42,1182.31,1169.47,1189.66,1188.07,1203.54,1186.64,1162.89,1237.02,1161.28,1169.92,1216.69,1191.97,1171.5,1132.44,1238.81,1191.5,1181.35,1193.47,1152.2,1144.87,1240.29,1248.75,1153.85,983.408,1177.19,1191.16,1142.36,1145.56,1193.24,1307.87,1183.8,1194.12,1169.41,1231.65,1161.22,1171.65,1152.32,1171.99
8/10/2017 0:00,1115.88,1207.68,1473.39,1155.51,1053.48,1236.89,1128.22,1133.8,1167.13,795.448,1162.79,1507.93,1165.27,1165.5,1151.8,1165.11,1168.29,1188.78,1174.48,1147.76,1218.19,1138.8,1137.06,1197.26,1178.95,1156.36,1115.49,1228.96,1176.84,1161.23,1157.61,1138.83,1124.49,1244.04,1230.71,1136.73,1139.58,1161.17,1189.07,1122.04,1126.36,1182.48,1315.86,1160.29,1173.82,1142.01,1212.72,1122.41,1162.94,1112.85,1155.67
8/10/2017 3:00,1102.69,1244.16,1478.48,1128.12,1091.96,1231.36,1112.91,1102.85,1152.21,819.298,1144.03,1545.48,1140.3,1144.36,1128.96,1138.29,1158.7,1157.63,1156.75,1130.49,1194.17,1118.63,1115.59,1169.76,1162.03,1136.26,1098.94,1215.76,1180.92,1120.73,1107.25,1107.38,1093.38,1243.53,1195.43,1148.32,1448.76,1141.41,1185.76,1094.93,1103.48,1167.52,1319.36,1129.04,1151.95,1116.94,1188.77,1079.61,1144.48,1082.18,1135.74
